sku;name;preparation;description;duration;biomaterial
4.5.A2.201;Холестерин общий ;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Показатель липидного обмена, предшественник половых гормонов, кортикостероидов, желчных кислот, витамина D. До 80% синтезируется в печени, а остальное поступает с продуктами животного происхождения. Транспортируются между органами в виде липопротеидных комплексов (низкой и высокой плотности). Накопление холестерина - фактор риска развития атеросклероза и ИБС (высокий риск - при уровне выше 6,22 ммоль/л). При пограничных значениях и выше целесообразно исследовать в комплексе с триглицеридами, липопротеидами высокой плотности (ЛПВП) и липопротеидами низкой плотности (ЛПНП).
Показания к назначению: диагностика атеросклероза, оценка эффективности терапии атеросклероза и прогноз. Факторы риска развития атеросклероза: мужчины старше 45 лет, женщины старше 55 лет, курение, артериальная гипертензия (от 140/90 мм рт. ст.), отягощенная наследственность - повышенный холестерол или сердечно-сосудистые заболевания у членов семьи (инфаркт или инсульт у ближайшего родственника мужского пола моложе 55 лет или женского моложе 65), ишемическая болезнь сердца, инфаркт миокарда или инсульт в анамнезе, сахарный диабет, избыточная масса тела, злоупотребление алкоголем, гиподинамия (низкая физическая активность). 
Повышение уровня холестерина: наследственные (семейные) гиперхолестеринемии - гиперлипопротеинемия типа I, IIA, IIБ, III, IV и V, полигенная гиперхолестеринемия, семейная комбинированная гиперлипидемия, первичная экзогенная гипертриглицеридемия; заболевания печени, внутри- и внепеченочный холестаз, злокачественные опухоли поджелудочной железы и простаты, нефротический синдром, хроническая почечная недостаточность, гипотиреоз, острый инфаркт миокарда, ишемическая болезнь сердца, гипертоническая болезнь, сахарный диабет, подагра, гликогенозы I, III и VI типов, алкоголизм.
Снижение концентрации холестерина: наследственные заболевания (болезнь Танжера, гипо- и абеталипопротеинемия) цирроз печени, злокачественные опухоли печени, гипертиреоз, синдром мальабсорбции, сидеробластная анемия, мегалобластная анемия, талассемия, хронические обструктивные заболевания легких, ревматоидный артрит.";1;сыворотка
4.5.A3.201;Холестерин липопротеидов высокой плотности (ЛПВП, HDL);Рекомендовано сдавать кровь утром строго натощак (10-12 часов голода, чистую воду пить можно). Накануне придерживаться стандартной диеты, исключить прием алкоголя.;"Фракция липопротеинов, отвечающая за перенос холестерина из периферических клеток в печень, где холестерин переводится в желчные кислоты и выводится из организма. Повышенный уровень ЛПВП - антиатерогенный фактор. 
Показания к назначению: диагностика атеросклероза, оценка эффективности терапии атеросклероза и прогноз. Факторы риска развития атеросклероза: мужчины старше 45 лет, женщины старше 55 лет, курение, артериальная гипертензия (от 140/90 мм рт. ст.), отягощенная наследственность - повышенный холестерол или сердечно-сосудистые заболевания у членов семьи (инфаркт или инсульт у ближайшего родственника мужского пола моложе 55 лет или женского моложе 65), ишемическая болезнь сердца, инфаркт миокарда или инсульт в анамнезе, сахарный диабет, избыточная масса тела, злоупотребление алкоголем, гиподинамия (низкая физическая активность).
Повышение уровня холестерина ЛПВП: наследственные гиперлипопротеинемии типов IА и IIВ типов, заболевания печени (первичный билиарный цирроз печени, хронический гепатит), алкоголизм.
Снижение концентрации холестерина ЛПВП: наследственность (абеталипопротеинемия, гипертриглицеридемия), декомпенсированный сахарный диабет, раннее поражение коронарных артерий, холестаз, нефротический синдром, хроническая почечная недостаточность.";1;сыворотка
4.5.D4;Холестерин не-ЛПВП (non-HDL, включает определение общего холестерина и ЛПВП);Рекомендовано сдавать кровь утром строго натощак (10-12 часов голода, чистую воду пить можно). Накануне придерживаться стандартной диеты, исключить прием алкоголя.;Оценка сердечно-сосудистого риска у пациентов с метаболическим синдромом, сахарным диабетом, гипертриглицеридемией.< 3,4 ммоль/л - умеренный уровень< 2,6 ммоль/л - высокий уровень< 2,2 ммоль/л – очень высокий уровень;1;сыворотка
4.5.D3;Коэффициент атерогенности (включает определение общего холестерина и ЛПВП);Рекомендовано сдавать кровь утром строго натощак (10-12 часов голода, чистую воду пить можно). Накануне придерживаться стандартной диеты, исключить прием алкоголя.;"Исследование применяется для диагностика атеросклероза, оценки эффективности терапии атеросклероза и прогноза. 
Включает определение общего холестерина и ЛПВП. ";1;сыворотка
4.5.A4.201;Холестерин липопротеидов низкой плотности (ЛПНП, LDL);Рекомендовано сдавать кровь утром строго натощак (10-12 часов голода, чистую воду пить можно). Накануне придерживаться стандартной диеты, исключить прием алкоголя.;"Фракция липопротеидов, отвечающая за перенос холестерина к клеткам тканей и органов. Относится к бета-липопротеинам. ЛПНП больше коррелирует с риском атеросклероза, чем уровень общего холестерола, поскольку обеспечивает приток холестерина к сосудам и органам. ЛПНП захватываются клетками в стенках сосудов с образованием атеросклеротических бляшек.
Показания к назначению: диагностика атеросклероза, оценка эффективности терапии атеросклероза и прогноз. Факторы риска развития атеросклероза: мужчины старше 45 лет, женщины старше 55 лет, курение, артериальная гипертензия (от 140/90 мм рт. ст.), отягощенная наследственность - повышенный холестерол или сердечно-сосудистые заболевания у членов семьи (инфаркт или инсульт у ближайшего родственника мужского пола моложе 55 лет или женского моложе 65), ишемическая болезнь сердца, инфаркт миокарда или инсульт в анамнезе, сахарный диабет, избыточная масса тела, злоупотребление алкоголем, гиподинамия (низкая физическая активность).
Повышение уровня холестерина ЛПНП: семейные гиперлипопротеинемии типа IIА, IIБ, гипотиреоз, нефротический синдром, дисглобулинемии, заболевания печени, порфирия, беременность, диабет, хроническая почечная недостаточность, синдром Кушинга.
Снижение уровня холестерина ЛПНП: наследственные заболевания (дефицит альфа- липопротеинов - синдром Танжера, гипо- и абеталипопротеинемия, дефицит кофактора липопротеинлипазы), хронические анемии, острый стресс, воспалительные заболевания суставов, миелома, хронические обструктивные заболевания легких.";1;сыворотка
4.5.D2.201;Холестерин липопротеидов очень низкой плотности (ЛПОНП), (включает определение триглицеридов);Рекомендовано сдавать кровь утром строго натощак (10-12 часов голода, чистую воду пить можно). Накануне придерживаться стандартной диеты, исключить прием алкоголя.;"ЛПОНП относят к высокоатерогенным липопротеинам, участвующим в механизме образования атеросклеротических бляшек: повышенное поглощение макрофагами ЛПОНП обуславливает выраженное накопление в них холестерина и образование пенистых клеток. Тест назначается только с тестом ""Триглицериды""
Показания к назначению: диагностика атеросклероза, оценка эффективности терапии атеросклероза и прогноз. Факторы риска развития атеросклероза: мужчины старше 45 лет, женщины старше 55 лет, курение, артериальная гипертензия (от 140/90 мм рт. ст.), отягощенная наследственность - повышенный холестерол или сердечно-сосудистые заболевания у членов семьи (инфаркт или инсульт у ближайшего родственника мужского пола моложе 55 лет или женского моложе 65), ишемическая болезнь сердца, инфаркт миокарда или инсульт в анамнезе, сахарный диабет, избыточная масса тела, злоупотребление алкоголем, гиподинамия (низкая физическая активность).
Повышение уровня ЛПОНП: семейные гиперлипидемии III, IV, V типов; ожирение, хроническая почечная недостаточность, нефротический синдром, диализ, сахарный диабет с кетоацидозом, гипотиреоз, хронический алкоголизм, острый и хронический панкреатит, гликогенозы.";1;сыворотка
4.5.A6.201;Аполипопротеин А1;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Основной белок в составе липопротеинов высокой плотности (ЛПВП), участвует в механизмах антиатерогенного действия ЛПВП, препятствуя отложению холестерина в атеросклеротических бляшках сосудов. Его нормальный уровень обеспечивает снижение риска поражения коронарных и мозговых сосудов. Тест важен для оценки антиатерогенной активности крови и определения риска развития сердечно-сосудистых заболеваний.
Снижение уровня аполипопротеина А1: семейные гиперлипидемии (болезнь Танжера, гипоальфалипопротеинемия), сахарный диабет 1 типа, холестаз, инфекционные заболевания, нефротический синдром, хроническая почечная недостаточность.
Повышение уровня аполипопротеина 1: семейная гиперлипидемия (гиперальфалипопротеинемия), беременность, лечение эстрогенами, злоупотребление алкоголем, физические нагрузки.";1;сыворотка
4.5.A7.201;Аполипопротеин В;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Самый надежный маркёр атеросклероза. Основной белок липопротеинов низкой плотности (ЛПНП), главный транспортер триглицеридов из кишечника в жировые клетки. Отражает нарушение взаимодействия холестерина с рецепторами клеток, ведущее к его отложению в стенках артерий. Является лучшим (чем ЛПНП) маркёром для оценки риска атеросклероза коронарных сосудов, позволяет выявить у больных с нормальным уровнем ЛПНП повышенный риск сердечно-сосудистых заболеваний. Оценить риск также можно по соотношению ""апо-В/апо-А1"" (более 1 - риск высокий).
Повышение уровня аполипопротеина B: семейные гиперлипидемии; некомпенсированный сахарный диабет; гипотиреоз, заболевания печени; холестаз, нефротический синдром; хроническая почечная недостаточность
Понижение уровня аполипопротеина B: абеталипопротеинемия, гипобеталипопротеинемия; алкоголизм;
гипертиреоз; нарушение всасывания в кишечнике; инфекционные и воспалительные процессы; хронические анемии; тяжелые ожоги.";1;сыворотка
4.5.A8.201;Липопротеин (а) ;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Маркёр риска атеросклероза, атерогенный липопротеин, ассоциирован с повышенным риском патологии коронарных и церебральных сосудов. Уровень определяется генетическими факторами, считается важным фактором риска преждевременного атеросклероза. Используется для раннего выявления риска атеросклероза, обследования лиц с семейной предрасположенностью, при преждевременной ИБС без гиперхолестеринемии, при стенозе церебральных сосудов.
Повышение уровня липопротеина (а): ранние формы ИБС (ишемической болезни сердца); стеноз церебральных сосудов; неконтролируемый сахарный диабет; тяжёлый гипотиреоз; хроническая почечная недостаточность; нефротический синдром; протеинурии; острые инфекционные и воспалительные процессы; применение бифосфонатов; курение; интенсивные физические нагрузки; беременность.";1;сыворотка
4.5.A10.201;Гомоцистеин;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Гомоцистеин - промежуточный продукт метаболизма незаменимой аминокислоты метионина, связанной с обменом серы. Большая часть гомоцистеина подвергается обратному метилированию с образованием метионина При нарушениях метаболизма (генетические дефекты ферментов, дефицит витаминов) его количество возрастает, он повреждает стенки сосудов, куда осаждаются холестерин и кальций, образуя атеросклеротическую бляшку, усиливается тромбообразование (повышение на 5 мкмоль/л увеличивает риск атеросклеротического поражения сосудов на 80% у женщин и на 60% у мужчин - риск возникновения болезни Альцгеймера и старческого слабоумия). При беременности повышение гомоцистеина может быть причиной невынашивания. Опасно повышение при сочетании с сахарным диабетом. Применяют тест для оценки риска развития сердечно-сосудистых заболеваний. При выявлении гипергомоцистеинемии рекомендуется исследовать уровень креатинина, ТТГ, фолиевой кислоты, витамина В12. 
Показания к назначению: определение риска сердечно-сосудистых заболеваний; диагностика гомоцистеинурии; сахарный диабет; старческое слабоумие и болезнь Альцгеймера.
Повышение уровня гомоцистеина: дефицит фолиевой кислоты, витаминов В6, В12; гомоцистеинурия (генетические дефекты ферментов, участвующих в обмене гомоцистеина); хроническая почечная недостаточность; пролиферативные заболевания; гипотиреоз; алкоголизм.";1;сыворотка
7.7.A5.201;Лептин;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Лептин - пептидный гормон, который секретируется жировыми клетками. Лептин регулирует энергетический обмен и сгорание жиров в организме; принимает участие в регуляции массы тела, вызывая снижение аппетита и уменьшая потребление пищи. Содержание лептина в крови возрастает с увеличением тучности и снижается при уменьшении количества жировой ткани. Высокий уровень лептина может свидетельствовать о повышенном риске сердечно-сосудистых и тромботических осложнений.
Показания к назначению: раннее выраженное ожирение; комплексное обследование при ожирении; дифференциальная диагностика сахарного диабета 2 типа и ожирения; нарушения репродуктивной функции на фоне сниженного питания и чрезмерных физических нагрузок.
Повышение уровня лептина: ожирение, инсулиннезависимый сахарный диабет, усиленное питание.
Снижение уровня лептина: снижение веса, голодание, ожирение, связанное с генетическим дефицитом лептина.";8;сыворотка
4.7.D1.201;Натрий, калий, хлор (Na/K/Cl);Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Тест используется для оценки содержания основных электролитов сыворотки - натрия, калия и хлоридов. 
Калий - основной внутриклеточный катион. Регулирует внутриклеточное осмотическое давление. Играет важную роль в физиологических процессах сокращения мышц, деятельности сердечной мышцы, проводимости нервных импульсов, ферментативных процессах (синтез белка, преобразование глюкозы в гликоген). Концентрация калия в крови зависит от адекватного поступления с пищей, работы желудочно-кишечного тракта, почек, от кислотно-щелочного равновесия, работы натрий-калиевого насоса. Незначительные отклонения уровня калия приводят к жизнеугрожающим состояниям. При гиперкалиемии развиваются нарушения ритма сердца вплоть до фибрилляции желудочков и асистолии. При гипокалиемии развиваются мышечная слабость, снижение рефлексов, гипотония, нарушения в проводящей системе сердца, непроходимость кишечника, полиурия.
Натрий - основной катион внеклеточной жидкости. Основная роль - поддержание осмотического давления и рН во внеклеточном пространстве. Na участвует в проведении возбуждения в нервной и мышечной ткани, влияет на деятельность сердечно-сосудистой системы. В регуляции обмена Na принимают участие альдостерон, антидиуретический гормон (вазопрессин), предсердный натрий-уретический гормон.
Хлор - основной внеклеточный анион. Основная роль - поддержание кислотно-щелочного равновесия, осмотического давления, баланса воды в организме, активирует амилазу, участвует в образовании соляной кислоты желудочного сока. В тканях содержится преимущественно в виде солей. Основным депо хлоридов является кожа. Хлориды из организма выводятся в основном с мочой (90%), а так же с потом и калом. Концентрация хлора зависит от равновесия между поступлением, распределением и выведением хлоридов из организма. Повышение хлора приводит к ацидозу, снижение - к алкалозу.";1;сыворотка
4.7.A3.201;Кальций общий;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Кальций - основной компонент костной ткани и важнейший биогенный элемент. Физиологическая роль кальция: составляет основу скелета и зубов, участие в системе гемостаза, регуляция проницаемости клеточных мембран, участие в процессах нейромышечной проводимости. В организме кальций представлен 3 формами: 1) связанный с белками (альбумином); 2) связанный с анионами (фосфатом, лактатом, цитратом и т.д.); 3) свободный (ионизированный) кальций - физиологически активный. Данный тест определяет количество общего кальция. Кальций поступает в организм с пищей, всасывание его происходит в тонком кишечнике, выводится почками. 99% кальция содержится в костной ткани, 1% - в сыворотке. Регуляция обмена кальция осуществляется паратгормоном и витамином Д3 (повышают уровень кальция) и кальцитонином (понижает уровень). Тест используется для скрининга и диагностики остеопороза, гипертиреоза, мочекаменной болезни, при заболеваниях сердечно-сосудистой системы (аритмии и нарушение тонуса миокарда); при гипотонии мышц; злокачественных новообразованиях.
Гиперкальциемия: гиперпаратиреоз (первичный и вторичный - при патологии почек); тиреотоксикоз; злокачественные опухоли; лейкозы; множественная миелома; саркоидоз; феохромоцитома; переломы костей, иногда полиартриты; гипервитаминоз D.
Гипокальциемия: идиопатический, хирургический или врожденный гипопаратиреоз, дефицит витамина D, дефицит магния, хроническая почечная недостаточность, острый панкреатит с панкреонекрозом, гипофункция передней доли гипофиза, остеомаляция, алкоголизм, цирроз печени, гипоальбуминемия (при нефротическом синдроме и тяжелой патологии печени); переливание больших доз цитратной крови; алиментарная дистрофия; рахит у детей, беременность и лактация.";1;сыворотка
4.7.A4.204;Кальций ионизированный   ;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Кальций - основной компонент костной ткани и важнейший биогенный элемент. Физиологическая роль кальция: составляет основу скелета и зубов, участие в системе гемостаза, регуляция проницаемости клеточных мембран, участие в процессах нейромышечной проводимости. В организме кальций представлен 3 формами: 1) связанный с белками (альбумином); 2) связанный с анионами (фосфатом, лактатом, цитратом и т.д.); 3) свободный (ионизированный) кальций - физиологически активный. Кальций поступает в организм с пищей, всасывание его происходит в тонком кишечнике, выводится почками. 99% кальция содержится в костной ткани, 1% - в сыворотке. Регуляция обмена кальция осуществляется паратгормоном и витамином Д3 (повышают уровень кальция) и кальцитонином (понижает уровень).
Данный тест определяет физиологически активную часть общего кальция крови. Актуален для диагностики гиперкальциемических состояний, в частности при первичном гиперпаратиреоидизме (для которого характерно повышение в крови концентрации свободного кальция и неизмененный уровень общего кальция), у пациентов, находящихся на диализе, после переливания цитратной крови.";1;кровь с гепарином
4.7.A5.201;Магний ;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Магний - микроэлемент, играющий жизненно важную роль в функционировании организма. Является активатором большинства ферментных систем, играет важную роль в проведении нервно-мышечного импульса. Магний участвует в терморегуляции организма, обмене кальция, натрия, аскорбиновой кислоты, фосфора, в синтезе фосфолипидов, оказывает сосудорасширяющее действие и препятствует агрегации эритроцитов.
Тест используется при нервной патологии (треморе, судорогах, гипервозбудимости); при оценке состояния щитовидной железы, почечной и надпочечниковой недостаточности, аритмиях; при гестозах.
Гипермагниемия: дегидратация, острая и хроническая почечная недостаточность, травма, недостаточность надпочечников, болезнь Аддисона, гипотиреоидизм, системная красная волчанка, множественная миелома.
Гипомагниемия: недостаточное поступление магния с пищей; нарушение всасывания магния в кишечнике вследствие развития синдрома мальабсорбции, неукротимой рвоты и диареи, глистных инвазий, опухоли кишечника; диета с низким содержанием белка, острый панкреатит, гипопаратиреоидизм, хронический алкоголизм, гломерулонефрит, гиперальдостеронизм, диабетический ацидоз, избыточная лактация";1;сыворотка
4.7.A6.201;Фосфор неорганический;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Фосфор - важный внутриклеточный анион. В организме содержится в виде неорганических (фосфаты) и органических соединений (углеводы, липиды, нуклеиновые кислоты). Физиологическая роль в организме: в виде фосфата кальция является базовым элементом костей и зубов; входит в состав фосфолипидов в структуре мембран клеток, а также в состав нуклеиновых кислот, принимающих участие в процессах деления клеток, роста, хранения и применения генетической информации; входит в состав молекулы аденозинтрифосфата (ATФ), который является аккумулятором энергии, обеспечивающим энергозависимые процессы в клетках тканей, особенно в мышечной и нервной; принимает участие в метаболизме углеводов и белков; вовлечен в процесс передачи нервных импульсов. На обмен фосфора воздействуют паратгормон, кальцитонин, витамин Д, обмен кальция, кислотно-щелочное состояние крови. Тест используется для диагностики заболеваний паращитовидных желез, почек, костей, при нарушениях фосфорно-кальциевого обмена.
Повышение концентрации фосфора (гиперфосфатемия): метастатические опухоли костей, лейкозы, саркоидоз, заживление переломов, почечная недостаточность, ацидоз, недостаточность функции паращитовидных желез, акромегалия, портальный цирроз, легочная эмболия.
Снижение концентрации фосфора: остеомаляция, стеаторрея, дефицит гормона роста, острый алкоголизм, гипокалиемия, диарея, рвота, дефицит витамина D, тяжелое нарушение питания, мальабсорбция, гиперпаратиреоз, острая подагра, гиперкальциемия, инфекции дыхательных путей, респираторный алкалоз, физиологическое снижение при беременности.";1;сыворотка
4.7.A7.201;Цинк;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Цинк - жизненно необходимый, количественно второй после железа, микроэлемент организма. Физиологическая роль: цинк находится в составе более 300 ферментов, которые участвуют в синтезе и расщеплении белков, жиров и углеводов, синтезе и обмене инсулина, нуклеиновых кислот и гормонов (стероидных, тиреоидных и других). Цинк обеспечивает активность иммунной системы, ускоряет заживление ран и регенерацию тканей, осуществляет детоксикационную функцию, участвует в обмене витаминов A и Е, находится в структуре и ферментах костной ткани. Тест используется при исследовании метаболизма цинка, при контроле лечения болезни Вильсона-Коновалова цинком.
Повышение содержания цинка: первичная остеосаркома кости, атеросклероз сосудов, анемия, пищевое отравление, при назначении пеницилламина. 
Снижение содержания цинка: метастатическая карцинома печени, целиакия, талассемия, лейкемия, лимфома, болезни печени и почек, ревматоидный артрит, алопеция, гипоальбуминемия, туберкулез, острый инфаркт миокарда, поражения кожи, острый стресс, беременность";1;сыворотка
4.7.A8.201;Медь;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Медь - важнейший незаменимый микроэлемент в организме человека. Медь находится в составе многих белков, является каталитической частью важнейших ферментов (аскорбиназа, тирозиназа, цитохромоксидаза, супероксиддисмутаза, церулоплазмин и др.). Они принимают непосредственное участие в метаболизме железа, формировании соединительной ткани, выработке энергии на клеточном уровне, продукции меланина, превращении допамина в норадреналин, в нормальном функционировании нервной системы (участие в строении миелиновых оболочек, в регуляции работы нейромедиаторов); в антиоксидантных реакциях, защите организма от действия свободных радикалов. Тест используется для скрининга болезни Коновалова-Вильсона, болезни Менкеса, оценки содержания меди в организме.
Повышение концентрации меди: острые и хронические воспалительные заболевания, ревматизм, бронхиальная астма, острый инфаркт миокарда, инсульт, лейкозы, лимфогранулематоз, гемохроматоз, большая и малая талассемия, мегалобластная и апластическая анемии, гиперкупреоз профессиональный (медная лихорадка, пневмокониоз), осложнения гемодиализа и гемотрансфузий, острое отравление препаратами, содержащими медь.
Снижение концентрации меди: болезнь Коновалова-Вильсона, синдром Менкеса, нефротический синдром, целиакия, ожоги, муковисцидоз, диспротеинемия, недостаточность белкового питания.";1;сыворотка
